Dates	global
1990-01-01	77.0
1990-01-02	77.9
1990-01-03	89.7
1990-01-04	92.6
1990-01-05	93.2
1990-01-08	99.8
1990-01-09	99.6
1990-01-10	100.6
1990-01-11	99.7
1990-01-12	99.6
1990-01-15	100.0
1990-01-16	100.2
1990-01-17	100.4
1990-01-18	100.7
1990-01-19	100.5
1990-01-22	100.9
1990-01-23	102.7
1990-01-24	102.7
1990-01-25	102.3
1990-01-26	101.4
1990-01-29	101.1
1990-01-30	100.2
1990-01-31	99.5
1990-02-01	98.7
1990-02-02	97.9
1990-02-05	97.9
1990-02-06	97.2
1990-02-07	97.2
1990-02-08	97.0
1990-02-09	96.7
1990-02-12	98.0
1990-02-13	97.7
1990-02-14	97.4
1990-02-15	97.1
1990-02-16	96.1
1990-02-19	95.6
1990-02-20	95.5
1990-02-21	95.7
1990-02-22	94.9
1990-02-23	95.9
1990-02-26	96.1
1990-02-27	95.9
1990-02-28	95.4
1990-03-01	96.0
1990-03-02	95.4
1990-03-05	95.0
1990-03-06	94.1
1990-03-07	93.5
1990-03-08	93.0
1990-03-09	92.2
1990-03-12	92.3
1990-03-13	91.9
1990-03-14	91.2
1990-03-15	91.0
1990-03-16	90.3
1990-03-19	92.2
1990-03-20	92.0
1990-03-21	91.6
1990-03-22	91.2
1990-03-23	90.3
1990-03-26	90.9
1990-03-27	90.5
1990-03-28	89.5
1990-03-29	89.1
1990-03-30	89.0
1990-04-02	90.1
1990-04-03	89.3
1990-04-04	88.9
1990-04-05	89.4
1990-04-06	90.3
1990-04-09	92.6
1990-04-10	94.3
1990-04-11	96.7
1990-04-12	97.1
1990-04-13	95.9
1990-04-16	95.0
1990-04-17	94.3
1990-04-18	94.6
1990-04-19	97.6
1990-04-20	97.5
1990-04-23	98.7
1990-04-24	98.5
1990-04-25	98.5
1990-04-26	97.8
1990-04-27	97.1
1990-04-30	96.4
1990-05-01	95.5
1990-05-02	95.1
1990-05-03	96.3
1990-05-04	97.1
1990-05-07	96.4
1990-05-08	97.6
1990-05-09	98.4
1990-05-10	97.8
1990-05-11	97.7
1990-05-14	99.3
1990-05-15	98.4
1990-05-16	97.5
1990-05-17	97.2
1990-05-18	96.1
1990-05-21	96.8
1990-05-22	96.4
1990-05-23	98.3
1990-05-24	97.6
1990-05-25	96.8
1990-05-28	95.6
1990-05-29	96.2
1990-05-30	96.9
1990-05-31	97.7
1990-06-01	97.0
1990-06-04	96.2
1990-06-05	96.5
1990-06-06	95.6
1990-06-07	94.9
1990-06-08	94.7
1990-06-11	94.1
1990-06-12	93.4
1990-06-13	92.3
1990-06-14	92.1
1990-06-15	91.3
1990-06-18	93.1
1990-06-19	92.4
1990-06-20	91.5
1990-06-21	90.6
1990-06-22	92.4
1990-06-25	91.7
1990-06-26	91.0
1990-06-27	90.8
1990-06-28	89.8
1990-06-29	89.7
1990-07-02	89.8
1990-07-03	89.6
1990-07-04	88.7
1990-07-05	88.7
1990-07-06	87.9
1990-07-09	88.1
1990-07-10	89.7
1990-07-11	89.1
1990-07-12	88.6
1990-07-13	95.0
1990-07-16	96.3
1990-07-17	95.8
1990-07-18	95.2
1990-07-19	94.2
1990-07-20	93.4
1990-07-23	95.5
1990-07-24	95.2
1990-07-25	94.2
1990-07-26	93.5
1990-07-27	93.5
1990-07-30	92.7
1990-07-31	94.3
1990-08-01	94.9
1990-08-02	104.3
1990-08-03	108.6
1990-08-06	118.0
1990-08-07	117.7
1990-08-08	119.7
1990-08-09	119.0
1990-08-10	118.0
1990-08-13	119.0
1990-08-14	118.2
1990-08-15	117.6
1990-08-16	116.9
1990-08-17	117.9
1990-08-20	117.6
1990-08-21	117.5
1990-08-22	117.7
1990-08-23	119.8
1990-08-24	119.3
1990-08-27	124.5
1990-08-28	124.4
1990-08-29	123.4
1990-08-30	123.3
1990-08-31	123.1
1990-09-03	125.1
1990-09-04	124.2
1990-09-05	125.2
1990-09-06	124.5
1990-09-07	123.7
1990-09-10	124.0
1990-09-11	123.5
1990-09-12	122.7
1990-09-13	122.4
1990-09-14	122.8
1990-09-17	122.8
1990-09-18	122.5
1990-09-19	122.8
1990-09-20	122.3
1990-09-21	121.8
1990-09-24	125.5
1990-09-25	124.8
1990-09-26	124.1
1990-09-27	123.2
1990-09-28	122.4
1990-10-01	123.3
1990-10-02	125.2
1990-10-03	125.5
1990-10-04	124.8
1990-10-05	125.2
1990-10-08	124.9
1990-10-09	124.8
1990-10-10	124.1
1990-10-11	123.4
1990-10-12	123.4
1990-10-15	123.7
1990-10-16	123.1
1990-10-17	125.0
1990-10-18	124.2
1990-10-19	124.7
1990-10-22	130.4
1990-10-23	130.1
1990-10-24	129.8
1990-10-25	130.3
1990-10-26	129.6
1990-10-29	128.6
1990-10-30	127.8
1990-10-31	126.9
1990-11-01	126.6
1990-11-02	125.7
1990-11-05	126.2
1990-11-06	125.2
1990-11-07	125.0
1990-11-08	124.3
1990-11-09	123.3
1990-11-12	123.1
1990-11-13	122.4
1990-11-14	122.1
1990-11-15	121.1
1990-11-16	120.9
1990-11-19	120.0
1990-11-20	119.5
1990-11-21	118.7
1990-11-22	117.7
1990-11-23	117.0
1990-11-26	118.8
1990-11-27	118.6
1990-11-28	117.8
1990-11-29	117.6
1990-11-30	119.3
1990-12-03	120.5
1990-12-04	119.9
1990-12-05	119.3
1990-12-06	121.2
1990-12-07	121.6
1990-12-10	120.8
1990-12-11	120.0
1990-12-12	119.1
1990-12-13	118.2
1990-12-14	117.4
1990-12-17	116.9
1990-12-18	116.0
1990-12-19	115.3
1990-12-20	118.4
1990-12-21	120.5
1990-12-24	120.0
1990-12-25	118.8
1990-12-26	117.6
1990-12-27	116.8
1990-12-28	118.7
1990-12-31	117.9
1991-01-01	116.6
1991-01-02	117.3
1991-01-03	117.9
1991-01-04	118.3
1991-01-07	121.9
1991-01-08	121.0
1991-01-09	125.9
1991-01-10	132.7
1991-01-11	131.6
1991-01-14	134.1
1991-01-15	133.2
1991-01-16	132.3
1991-01-17	146.7
1991-01-18	146.6
1991-01-21	145.9
1991-01-22	145.1
1991-01-23	144.3
1991-01-24	143.9
1991-01-25	142.8
1991-01-28	141.7
1991-01-29	140.5
1991-01-30	139.7
1991-01-31	138.8
1991-02-01	138.0
1991-02-04	137.0
1991-02-05	136.4
1991-02-06	135.9
1991-02-07	135.0
1991-02-08	134.1
1991-02-11	133.6
1991-02-12	132.8
1991-02-13	131.7
1991-02-14	131.0
1991-02-15	132.0
1991-02-18	131.8
1991-02-19	131.0
1991-02-20	130.4
1991-02-21	129.4
1991-02-22	129.1
1991-02-25	130.7
1991-02-26	129.8
1991-02-27	128.9
1991-02-28	128.2
1991-03-01	127.8
1991-03-04	127.1
1991-03-05	126.4
1991-03-06	125.8
1991-03-07	124.7
1991-03-08	124.5
1991-03-11	124.5
1991-03-12	123.6
1991-03-13	125.1
1991-03-14	124.3
1991-03-15	125.1
1991-03-18	126.8
